BY,Stock,Region,Area,S,R
1994,SEAK N Outside,Southeast Alaska,North,4209.6,6573.96
1995,SEAK N Outside,Southeast Alaska,North,3497.7,10516.84
1996,SEAK N Outside,Southeast Alaska,North,4760.42,13154.38
1962,Situk R.,Yakutat,North,210,242.74
1964,Situk R.,Yakutat,North,210,16.03
1965,Situk R.,Yakutat,North,90,267.54
1967,Situk R.,Yakutat,North,240,37.85
1969,Situk R.,Yakutat,North,34.5,30.18
1971,Situk R.,Yakutat,North,27.18,254.22
1972,Situk R.,Yakutat,North,30,63.68
1973,Situk R.,Yakutat,North,240,142.24
1974,Situk R.,Yakutat,North,60,45.97
1975,Situk R.,Yakutat,North,133.8,208.09
1976,Situk R.,Yakutat,North,38.08,373.41
1977,Situk R.,Yakutat,North,177.71,482.7
1978,Situk R.,Yakutat,North,360,294.3
1979,Situk R.,Yakutat,North,450,332.87
1980,Situk R.,Yakutat,North,250,47.05
1981,Situk R.,Yakutat,North,300,194.91
1982,Situk R.,Yakutat,North,40.3,127.15
1983,Situk R.,Yakutat,North,183.58,378.24
1984,Situk R.,Yakutat,North,113.16,261.18
1985,Situk R.,Yakutat,North,366,84.48
1986,Situk R.,Yakutat,North,255,97.47
1987,Situk R.,Yakutat,North,72,338.34
1988,Situk R.,Yakutat,North,78.75,553.51
1989,Situk R.,Yakutat,North,288.25,195.34
1990,Situk R.,Yakutat,North,525,25.65
1972,Humpy Cr.,Yakutat,North,4.89,6.04
1973,Humpy Cr.,Yakutat,North,3.97,109.21
1974,Humpy Cr.,Yakutat,North,6,33.19
1975,Humpy Cr.,Yakutat,North,39,75.1
1976,Humpy Cr.,Yakutat,North,14.02,30.5
1977,Humpy Cr.,Yakutat,North,36,155.24
1978,Humpy Cr.,Yakutat,North,15,126.11
1979,Humpy Cr.,Yakutat,North,45,304.13
1980,Humpy Cr.,Yakutat,North,30,27.42
1981,Humpy Cr.,Yakutat,North,210,101.37
1982,Humpy Cr.,Yakutat,North,26.1,48.61
1983,Humpy Cr.,Yakutat,North,90,227.28
1984,Humpy Cr.,Yakutat,North,48,31.26
1985,Humpy Cr.,Yakutat,North,225,6.12
1986,Humpy Cr.,Yakutat,North,30.7,126.58
1987,Humpy Cr.,Yakutat,North,6,65.63
1988,Humpy Cr.,Yakutat,North,30,42.97
1989,Humpy Cr.,Yakutat,North,60.6,24.21
1990,Humpy Cr.,Yakutat,North,41.4,15.33
1991,Humpy Cr.,Yakutat,North,24.15,39.17
1992,Humpy Cr.,Yakutat,North,13.5,33.29
1967,PWS E D.,Prince William Sound,North,255.24,1124.18
1968,PWS E D.,Prince William Sound,North,364.93,745.42
1969,PWS E D.,Prince William Sound,North,160.6,2327.41
1970,PWS E D.,Prince William Sound,North,387.09,344.47
1971,PWS E D.,Prince William Sound,North,352.8,636.49
1972,PWS E D.,Prince William Sound,North,344.47,256.88
1973,PWS E D.,Prince William Sound,North,309.04,1124.89
1974,PWS E D.,Prince William Sound,North,256.88,1853.02
1975,PWS E D.,Prince William Sound,North,412.56,2063.97
1976,PWS E D.,Prince William Sound,North,472.08,1795.2
1977,PWS E D.,Prince William Sound,North,390.93,5142.25
1978,PWS E D.,Prince William Sound,North,279.12,3676.09
1979,PWS E D.,Prince William Sound,North,642.22,5396.92
1980,PWS E D.,Prince William Sound,North,535.96,3532.67
1981,PWS E D.,Prince William Sound,North,599.34,2912.01
1982,PWS E D.,Prince William Sound,North,573.07,5734.77
1983,PWS E D.,Prince William Sound,North,481.95,7465.67
1984,PWS E D.,Prince William Sound,North,1209.74,2844.92
1985,PWS E D.,Prince William Sound,North,750.53,7479.12
1986,PWS E D.,Prince William Sound,North,356.38,843.69
1987,PWS E D.,Prince William Sound,North,514.57,3510.47
1988,PWS E D.,Prince William Sound,North,362.37,8414.02
1989,PWS E D.,Prince William Sound,North,359.37,3091.6
1990,PWS E D.,Prince William Sound,North,443.66,693.61
1991,PWS E D.,Prince William Sound,North,474.38,315.21
1992,PWS E D.,Prince William Sound,North,204.38,12169.56
1993,PWS E D.,Prince William Sound,North,315.21,4632.33
1994,PWS E D.,Prince William Sound,North,615.24,6643.3
1995,PWS E D.,Prince William Sound,North,396.7,4880.09
1996,PWS E D.,Prince William Sound,North,584.24,2608.76
1971,Montague,Prince William Sound,North,296.73,266.3
1972,Montague,Prince William Sound,North,33.14,11.75
1973,Montague,Prince William Sound,North,119.52,203.85
1974,Montague,Prince William Sound,North,11.75,13.79
1975,Montague,Prince William Sound,North,85.38,230.06
1976,Montague,Prince William Sound,North,13.79,56.69
1977,Montague,Prince William Sound,North,152.96,1566.81
1978,Montague,Prince William Sound,North,56.69,119.35
1979,Montague,Prince William Sound,North,219.4,534.3
1980,Montague,Prince William Sound,North,118.4,138.82
1981,Montague,Prince William Sound,North,255.42,388.44
1982,Montague,Prince William Sound,North,132.38,203.4
1983,Montague,Prince William Sound,North,230.2,1781.05
1984,Montague,Prince William Sound,North,191.81,44.68
1985,Montague,Prince William Sound,North,332.24,260.27
1986,Montague,Prince William Sound,North,44.68,67.99
1987,Montague,Prince William Sound,North,149.26,181.76
1988,Montague,Prince William Sound,North,67.99,124.23
1989,Montague,Prince William Sound,North,181.76,247.89
1990,Montague,Prince William Sound,North,113.57,47.16
1991,Montague,Prince William Sound,North,247.89,144.78
1992,Montague,Prince William Sound,North,47.16,60.08
1993,Montague,Prince William Sound,North,144.78,201.69
1994,Montague,Prince William Sound,North,60.08,92.97
1995,Montague,Prince William Sound,North,183.45,272.05
1996,Montague,Prince William Sound,North,92.97,591.8
1967,PWS SE D.,Prince William Sound,North,236.61,723.09
1968,PWS SE D.,Prince William Sound,North,179.12,231.1
1969,PWS SE D.,Prince William Sound,North,26.91,456.09
1970,PWS SE D.,Prince William Sound,North,140.66,79.06
1971,PWS SE D.,Prince William Sound,North,179.48,835.21
1972,PWS SE D.,Prince William Sound,North,79.06,94.65
1973,PWS SE D.,Prince William Sound,North,177.78,1070.13
1974,PWS SE D.,Prince William Sound,North,94.65,199.96
1975,PWS SE D.,Prince William Sound,North,194.67,1102.15
1976,PWS SE D.,Prince William Sound,North,117.59,380.73
1977,PWS SE D.,Prince William Sound,North,277.78,4889.56
1978,PWS SE D.,Prince William Sound,North,164.03,1579.07
1979,PWS SE D.,Prince William Sound,North,728.63,3581.14
1980,PWS SE D.,Prince William Sound,North,307.68,1229.98
1981,PWS SE D.,Prince William Sound,North,359.87,2083.69
1982,PWS SE D.,Prince William Sound,North,482.86,2037.6
1983,PWS SE D.,Prince William Sound,North,601.68,3379.07
1984,PWS SE D.,Prince William Sound,North,792.56,303.1
1985,PWS SE D.,Prince William Sound,North,645.51,1286.62
1986,PWS SE D.,Prince William Sound,North,155.83,154.32
1987,PWS SE D.,Prince William Sound,North,330.63,388.18
1988,PWS SE D.,Prince William Sound,North,152.54,316.42
1989,PWS SE D.,Prince William Sound,North,315,533.17
1990,PWS SE D.,Prince William Sound,North,304.09,95.07
1991,PWS SE D.,Prince William Sound,North,533.17,315.09
1992,PWS SE D.,Prince William Sound,North,95.07,196.38
1993,PWS SE D.,Prince William Sound,North,315.09,347.73
1994,PWS SE D.,Prince William Sound,North,196.38,330.29
1995,PWS SE D.,Prince William Sound,North,336.31,613.18
1996,PWS SE D.,Prince William Sound,North,330.29,549.49
1960,Cook S D.,Cook Inlet,North,50,390.8
1961,Cook S D.,Cook Inlet,North,52.6,74.6
1962,Cook S D.,Cook Inlet,North,156,223.8
1963,Cook S D.,Cook Inlet,North,49.7,97.8
1964,Cook S D.,Cook Inlet,North,94.5,213.8
1965,Cook S D.,Cook Inlet,North,59.5,105.7
1966,Cook S D.,Cook Inlet,North,140,151.5
1967,Cook S D.,Cook Inlet,North,82,100.8
1968,Cook S D.,Cook Inlet,North,102.3,218.6
1969,Cook S D.,Cook Inlet,North,69.4,117.7
1970,Cook S D.,Cook Inlet,North,94.8,25
1971,Cook S D.,Cook Inlet,North,89.3,129
1972,Cook S D.,Cook Inlet,North,22,75.2
1973,Cook S D.,Cook Inlet,North,58.4,817.5
1974,Cook S D.,Cook Inlet,North,33.9,69.5
1975,Cook S D.,Cook Inlet,North,127.5,261.1
1976,Cook S D.,Cook Inlet,North,59.3,133.5
1977,Cook S D.,Cook Inlet,North,142.3,818.9
1978,Cook S D.,Cook Inlet,North,77.4,330.9
1979,Cook S D.,Cook Inlet,North,276.4,608.3
1980,Cook S D.,Cook Inlet,North,170.1,209.8
1981,Cook S D.,Cook Inlet,North,196.1,192
1982,Cook S D.,Cook Inlet,North,99.2,173
1983,Cook S D.,Cook Inlet,North,136.5,188
1984,Cook S D.,Cook Inlet,North,109.3,223.7
1985,Cook S D.,Cook Inlet,North,166.1,41.5
1986,Cook S D.,Cook Inlet,North,95.4,62.4
1987,Cook S D.,Cook Inlet,North,38,230.8
1988,Cook S D.,Cook Inlet,North,46.2,78.5
1989,Cook S D.,Cook Inlet,North,138.3,76.7
1990,Cook S D.,Cook Inlet,North,74.9,36.9
1991,Cook S D.,Cook Inlet,North,76.4,94.8
1992,Cook S D.,Cook Inlet,North,35,51.5
1993,Cook S D.,Cook Inlet,North,92.2,179.9
1994,Cook S D.,Cook Inlet,North,46.1,37.9
1995,Cook S D.,Cook Inlet,North,147.8,287.3
1996,Cook S D.,Cook Inlet,North,33.8,69
1960,Cook Outer D.,Cook Inlet,North,208.2,1819
1961,Cook Outer D.,Cook Inlet,North,40,62.2
1962,Cook Outer D.,Cook Inlet,North,287,870.6
1963,Cook Outer D.,Cook Inlet,North,41,83.6
1964,Cook Outer D.,Cook Inlet,North,155.4,417
1965,Cook Outer D.,Cook Inlet,North,62.8,293.4
1966,Cook Outer D.,Cook Inlet,North,110,165.3
1967,Cook Outer D.,Cook Inlet,North,33.5,90.8
1968,Cook Outer D.,Cook Inlet,North,86.1,461.2
1969,Cook Outer D.,Cook Inlet,North,39.3,299.9
1970,Cook Outer D.,Cook Inlet,North,90.1,21.4
1971,Cook Outer D.,Cook Inlet,North,163.4,237.3
1972,Cook Outer D.,Cook Inlet,North,21.4,4.5
1973,Cook Outer D.,Cook Inlet,North,51.4,227.8
1974,Cook Outer D.,Cook Inlet,North,3.7,15.8
1975,Cook Outer D.,Cook Inlet,North,103.4,1287.1
1976,Cook Outer D.,Cook Inlet,North,15.8,128.5
1977,Cook Outer D.,Cook Inlet,North,219.2,2121.7
1978,Cook Outer D.,Cook Inlet,North,65.2,223.1
1979,Cook Outer D.,Cook Inlet,North,307.6,1419.3
1980,Cook Outer D.,Cook Inlet,North,86.6,109.2
1981,Cook Outer D.,Cook Inlet,North,203.2,260.3
1982,Cook Outer D.,Cook Inlet,North,52.6,186.9
1983,Cook Outer D.,Cook Inlet,North,115.7,596
1984,Cook Outer D.,Cook Inlet,North,102.3,390.4
1985,Cook Outer D.,Cook Inlet,North,128.6,29.9
1986,Cook Outer D.,Cook Inlet,North,86.4,56.2
1987,Cook Outer D.,Cook Inlet,North,26.9,145.6
1988,Cook Outer D.,Cook Inlet,North,50.3,318.3
1989,Cook Outer D.,Cook Inlet,North,135.9,530
1990,Cook Outer D.,Cook Inlet,North,127.1,61.3
1991,Cook Outer D.,Cook Inlet,North,183.7,265.5
1992,Cook Outer D.,Cook Inlet,North,61.2,73.6
1993,Cook Outer D.,Cook Inlet,North,180.8,286.8
1994,Cook Outer D.,Cook Inlet,North,72,164.4
1995,Cook Outer D.,Cook Inlet,North,130.5,371.1
1996,Cook Outer D.,Cook Inlet,North,164.4,369.6
1960,Kamishak,Cook Inlet,North,19.5,333.2
1962,Kamishak,Cook Inlet,North,30,33.5
1963,Kamishak,Cook Inlet,North,37,10.9
1964,Kamishak,Cook Inlet,North,20,33.9
1966,Kamishak,Cook Inlet,North,20,126.2
1967,Kamishak,Cook Inlet,North,0.5,5
1969,Kamishak,Cook Inlet,North,8,101.1
1970,Kamishak,Cook Inlet,North,42,5.7
1971,Kamishak,Cook Inlet,North,73,18.1
1972,Kamishak,Cook Inlet,North,5.7,0.8
1973,Kamishak,Cook Inlet,North,10.2,50
1974,Kamishak,Cook Inlet,North,0.8,15
1975,Kamishak,Cook Inlet,North,50,88.2
1976,Kamishak,Cook Inlet,North,15,34.2
1977,Kamishak,Cook Inlet,North,82,281.7
1978,Kamishak,Cook Inlet,North,34.1,508.1
1979,Kamishak,Cook Inlet,North,227,192.9
1980,Kamishak,Cook Inlet,North,407.5,124
1981,Kamishak,Cook Inlet,North,126.9,10.7
1982,Kamishak,Cook Inlet,North,90.5,262.5
1983,Kamishak,Cook Inlet,North,10.4,21.9
1984,Kamishak,Cook Inlet,North,128.8,1757.8
1985,Kamishak,Cook Inlet,North,21.9,164.5
1986,Kamishak,Cook Inlet,North,1337,118.9
1987,Kamishak,Cook Inlet,North,93.9,829.6
1988,Kamishak,Cook Inlet,North,64,23.5
1989,Kamishak,Cook Inlet,North,573,157.6
1990,Kamishak,Cook Inlet,North,22.8,13
1991,Kamishak,Cook Inlet,North,112.5,185.9
1992,Kamishak,Cook Inlet,North,11.1,10.4
1993,Kamishak,Cook Inlet,North,185.8,662.7
1994,Kamishak,Cook Inlet,North,10.4,32.8
1995,Kamishak,Cook Inlet,North,499.9,95.1
1996,Kamishak,Cook Inlet,North,32.8,166.8
1980,Afognak,Kodiak,North,481.19,1020.61
1981,Afognak,Kodiak,North,431.26,423.72
1982,Afognak,Kodiak,North,328.22,697.89
1983,Afognak,Kodiak,North,229.47,723.53
1984,Afognak,Kodiak,North,232.56,1229.15
1985,Afognak,Kodiak,North,422.61,575.75
1986,Afognak,Kodiak,North,368.49,3077.85
1987,Afognak,Kodiak,North,260.85,943.02
1988,Afognak,Kodiak,North,651.85,1217.39
1989,Afognak,Kodiak,North,943.02,912.98
1990,Afognak,Kodiak,North,206.39,843.14
1991,Afognak,Kodiak,North,310.98,3026.16
1992,Afognak,Kodiak,North,447.94,1157.38
1993,Afognak,Kodiak,North,407.76,4332.73
1994,Afognak,Kodiak,North,533.98,293.77
1995,Afognak,Kodiak,North,588.73,579.94
1996,Afognak,Kodiak,North,127.87,1671.74
1980,Kodiak Wside,Kodiak,North,4086.95,8739.94
1981,Kodiak Wside,Kodiak,North,680.66,2172.91
1982,Kodiak Wside,Kodiak,North,3461.81,11828.66
1983,Kodiak Wside,Kodiak,North,604.58,2260.82
1984,Kodiak Wside,Kodiak,North,2897.97,10255.65
1985,Kodiak Wside,Kodiak,North,581.26,1944.53
1986,Kodiak Wside,Kodiak,North,2090.57,8257.5
1987,Kodiak Wside,Kodiak,North,542.53,4298.63
1988,Kodiak Wside,Kodiak,North,1736.5,7581.56
1989,Kodiak Wside,Kodiak,North,4298.63,6212.85
1990,Kodiak Wside,Kodiak,North,4581.56,3308.87
1991,Kodiak Wside,Kodiak,North,1221.85,10248.89
1992,Kodiak Wside,Kodiak,North,1907.57,4889.56
1993,Kodiak Wside,Kodiak,North,1169.19,20891
1994,Kodiak Wside,Kodiak,North,1574.56,3648.34
1995,Kodiak Wside,Kodiak,North,2680,7327.85
1996,Kodiak Wside,Kodiak,North,1957.24,15361.07
1980,Alitak,Kodiak,North,517.91,986.6
1981,Alitak,Kodiak,North,625.21,1868.88
1982,Alitak,Kodiak,North,466.83,747.32
1983,Alitak,Kodiak,North,440.36,1856.54
1984,Alitak,Kodiak,North,313.52,1077.13
1985,Alitak,Kodiak,North,798.64,1393.69
1986,Alitak,Kodiak,North,349.07,646.4
1987,Alitak,Kodiak,North,476.79,2892.82
1988,Alitak,Kodiak,North,260.4,234.01
1989,Alitak,Kodiak,North,2710.82,2842.24
1990,Alitak,Kodiak,North,89.01,242.22
1991,Alitak,Kodiak,North,468.24,4415.16
1992,Alitak,Kodiak,North,183.12,1666.71
1993,Alitak,Kodiak,North,949.66,10856.35
1994,Alitak,Kodiak,North,545.91,1043.86
1995,Alitak,Kodiak,North,3796.35,1459
1996,Alitak,Kodiak,North,490.46,2987.2
1980,Kodiak Eside-Nend,Kodiak,North,839.9,1416.48
1981,Kodiak Eside-Nend,Kodiak,North,931.82,1750.62
1982,Kodiak Eside-Nend,Kodiak,North,588.9,979.99
1983,Kodiak Eside-Nend,Kodiak,North,652.09,1539.52
1984,Kodiak Eside-Nend,Kodiak,North,581.12,1309.34
1985,Kodiak Eside-Nend,Kodiak,North,971.07,1943.55
1986,Kodiak Eside-Nend,Kodiak,North,707.22,3730.7
1987,Kodiak Eside-Nend,Kodiak,North,679.85,2713.1
1988,Kodiak Eside-Nend,Kodiak,North,856.7,911.44
1989,Kodiak Eside-Nend,Kodiak,North,2713.1,7343.53
1990,Kodiak Eside-Nend,Kodiak,North,498.44,1117.44
1991,Kodiak Eside-Nend,Kodiak,North,1174.53,6718.96
1992,Kodiak Eside-Nend,Kodiak,North,557.94,1852.85
1993,Kodiak Eside-Nend,Kodiak,North,1305.56,11286.43
1994,Kodiak Eside-Nend,Kodiak,North,994.65,392.48
1995,Kodiak Eside-Nend,Kodiak,North,2665.43,2142.89
1996,Kodiak Eside-Nend,Kodiak,North,344.98,1398.93
1980,Kodiak Mainland,Kodiak,North,529.89,1106.38
1981,Kodiak Mainland,Kodiak,North,533,427.26
1982,Kodiak Mainland,Kodiak,North,524.5,839.52
1983,Kodiak Mainland,Kodiak,North,243.52,698.43
1984,Kodiak Mainland,Kodiak,North,494.78,1398.89
1985,Kodiak Mainland,Kodiak,North,437.38,756.6
1986,Kodiak Mainland,Kodiak,North,592.71,2649
1987,Kodiak Mainland,Kodiak,North,530.4,3977.02
1988,Kodiak Mainland,Kodiak,North,901,1525.51
1989,Kodiak Mainland,Kodiak,North,3977.02,2308
1990,Kodiak Mainland,Kodiak,North,649.51,608.66
1991,Kodiak Mainland,Kodiak,North,1142,1825.11
1992,Kodiak Mainland,Kodiak,North,419.06,538.73
1993,Kodiak Mainland,Kodiak,North,459.41,1463.73
1994,Kodiak Mainland,Kodiak,North,344.93,480.25
1995,Kodiak Mainland,Kodiak,North,767.73,1567.35
1996,Kodiak Mainland,Kodiak,North,430.45,1454.05
1962,Chignik Bay,Chignik,North,30,143.6
1963,Chignik Bay,Chignik,North,20.7,42.5
1964,Chignik Bay,Chignik,North,20,89.6
1965,Chignik Bay,Chignik,North,11,33.1
1966,Chignik Bay,Chignik,North,71.3,311.6
1967,Chignik Bay,Chignik,North,5.7,41.2
1968,Chignik Bay,Chignik,North,81.4,89.9
1969,Chignik Bay,Chignik,North,11.7,70.8
1970,Chignik Bay,Chignik,North,43.6,37.4
1971,Chignik Bay,Chignik,North,5.5,24.9
1972,Chignik Bay,Chignik,North,5.8,37.5
1973,Chignik Bay,Chignik,North,2.2,28.6
1974,Chignik Bay,Chignik,North,4,121.1
1975,Chignik Bay,Chignik,North,1.2,63.9
1976,Chignik Bay,Chignik,North,12.3,147.8
1977,Chignik Bay,Chignik,North,3,313.6
1978,Chignik Bay,Chignik,North,10.7,183.9
1979,Chignik Bay,Chignik,North,1.2,122.8
1980,Chignik Bay,Chignik,North,3,85.4
1981,Chignik Bay,Chignik,North,1.4,28.3
1982,Chignik Bay,Chignik,North,2.4,288.4
1983,Chignik Bay,Chignik,North,1,14.4
1984,Chignik Bay,Chignik,North,123.2,191.3
1988,Chignik Bay,Chignik,North,22.4,100.5
1989,Chignik Bay,Chignik,North,13.5,88.4
1990,Chignik Bay,Chignik,North,6,234
1991,Chignik Bay,Chignik,North,12.2,57.9
1992,Chignik Bay,Chignik,North,55.8,135.2
1993,Chignik Bay,Chignik,North,2,287.4
1994,Chignik Bay,Chignik,North,75.8,44.6
1995,Chignik Bay,Chignik,North,180.5,98.9
1962,Chignik Central,Chignik,North,83.9,203
1963,Chignik Central,Chignik,North,92.6,135.3
1964,Chignik Central,Chignik,North,131.1,80
1965,Chignik Central,Chignik,North,65.8,44.5
1966,Chignik Central,Chignik,North,62.6,111.5
1967,Chignik Central,Chignik,North,18.5,71
1968,Chignik Central,Chignik,North,66.1,88.6
1969,Chignik Central,Chignik,North,69.6,95.3
1970,Chignik Central,Chignik,North,60.7,3.9
1971,Chignik Central,Chignik,North,74.8,50.5
1972,Chignik Central,Chignik,North,3.1,31.9
1973,Chignik Central,Chignik,North,50.2,57.7
1974,Chignik Central,Chignik,North,9.8,82.6
1975,Chignik Central,Chignik,North,26.4,319.9
1976,Chignik Central,Chignik,North,66,162.4
1977,Chignik Central,Chignik,North,199.9,581.4
1978,Chignik Central,Chignik,North,101.2,208.1
1979,Chignik Central,Chignik,North,297,286.5
1980,Chignik Central,Chignik,North,99.4,106.7
1981,Chignik Central,Chignik,North,76.5,18.9
1982,Chignik Central,Chignik,North,26.1,141.3
1983,Chignik Central,Chignik,North,11,23.5
1984,Chignik Central,Chignik,North,94,166
1985,Chignik Central,Chignik,North,7.4,73.5
1986,Chignik Central,Chignik,North,121.9,534.8
1987,Chignik Central,Chignik,North,65.7,215
1988,Chignik Central,Chignik,North,216.4,365.6
1989,Chignik Central,Chignik,North,215,375.1
1990,Chignik Central,Chignik,North,131.9,429.5
1991,Chignik Central,Chignik,North,201.1,359.4
1992,Chignik Central,Chignik,North,223.8,278
1993,Chignik Central,Chignik,North,160.9,1185.2
1994,Chignik Central,Chignik,North,178.9,252.9
1995,Chignik Central,Chignik,North,715.5,1194.6
1962,Chignik E,Chignik,North,401.7,1857.2
1963,Chignik E,Chignik,North,126.2,90.5
1964,Chignik E,Chignik,North,605.7,688.4
1965,Chignik E,Chignik,North,64.8,78.7
1966,Chignik E,Chignik,North,302.2,913.7
1967,Chignik E,Chignik,North,56.1,47.7
1968,Chignik E,Chignik,North,390.3,470.6
1969,Chignik E,Chignik,North,46,52
1970,Chignik E,Chignik,North,201.7,28.8
1971,Chignik E,Chignik,North,23,15.3
1972,Chignik E,Chignik,North,15.9,76.8
1973,Chignik E,Chignik,North,12.8,23.5
1974,Chignik E,Chignik,North,76.2,257.6
1975,Chignik E,Chignik,North,23.5,76.2
1976,Chignik E,Chignik,North,228.8,396.1
1977,Chignik E,Chignik,North,76,486.7
1978,Chignik E,Chignik,North,309.3,898
1979,Chignik E,Chignik,North,194.3,328
1980,Chignik E,Chignik,North,425.5,390.6
1981,Chignik E,Chignik,North,154.7,54.1
1982,Chignik E,Chignik,North,301.5,544.2
1983,Chignik E,Chignik,North,46.3,218.7
1984,Chignik E,Chignik,North,486.5,630.3
1985,Chignik E,Chignik,North,212.1,217.7
1986,Chignik E,Chignik,North,580.7,2011.8
1987,Chignik E,Chignik,North,215.6,881
1988,Chignik E,Chignik,North,1005.4,852
1989,Chignik E,Chignik,North,881,153
1990,Chignik E,Chignik,North,811.4,1501.2
1991,Chignik E,Chignik,North,125,584
1992,Chignik E,Chignik,North,1318,876.3
1993,Chignik E,Chignik,North,524.7,1407.9
1994,Chignik E,Chignik,North,863.3,1066.8
1995,Chignik E,Chignik,North,1399.3,1360
1962,Chignik W,Chignik,North,242,277.9
1963,Chignik W,Chignik,North,305,497.6
1964,Chignik W,Chignik,North,165,352.5
1965,Chignik W,Chignik,North,152,131.5
1966,Chignik W,Chignik,North,179.3,446.9
1967,Chignik W,Chignik,North,104.4,907
1968,Chignik W,Chignik,North,151.3,644.7
1969,Chignik W,Chignik,North,422,554.2
1970,Chignik W,Chignik,North,202,23.5
1971,Chignik W,Chignik,North,268.8,62.4
1972,Chignik W,Chignik,North,8.6,90.8
1973,Chignik W,Chignik,North,62.4,149.1
1974,Chignik W,Chignik,North,77.4,250
1975,Chignik W,Chignik,North,141.7,734.5
1976,Chignik W,Chignik,North,114.2,752.7
1977,Chignik W,Chignik,North,355.5,929.6
1978,Chignik W,Chignik,North,333.4,356
1979,Chignik W,Chignik,North,185,682.9
1980,Chignik W,Chignik,North,139.5,648.3
1981,Chignik W,Chignik,North,249.3,200.3
1982,Chignik W,Chignik,North,45.9,361.8
1983,Chignik W,Chignik,North,36,148.1
1984,Chignik W,Chignik,North,188,244.6
1985,Chignik W,Chignik,North,67.5,226
1986,Chignik W,Chignik,North,43.8,1373.8
1987,Chignik W,Chignik,North,38.3,57.9
1988,Chignik W,Chignik,North,232.4,180.1
1989,Chignik W,Chignik,North,57.9,516.1
1990,Chignik W,Chignik,North,44.3,667.7
1991,Chignik W,Chignik,North,96.8,731.4
1992,Chignik W,Chignik,North,38.8,286.2
1993,Chignik W,Chignik,North,45.8,1346.4
1994,Chignik W,Chignik,North,111.6,321.7
1995,Chignik W,Chignik,North,554.7,425.2
1962,Perryville,Chignik,North,155.5,194.6
1963,Perryville,Chignik,North,162,726.8
1964,Perryville,Chignik,North,72,178.2
1965,Perryville,Chignik,North,82,160.5
1966,Perryville,Chignik,North,90,324.8
1967,Perryville,Chignik,North,155.3,1480.8
1968,Perryville,Chignik,North,128.7,444
1969,Perryville,Chignik,North,218.6,257.1
1970,Perryville,Chignik,North,72.6,19.8
1971,Perryville,Chignik,North,45,31.5
1972,Perryville,Chignik,North,7.8,60.2
1973,Perryville,Chignik,North,31.5,45.3
1974,Perryville,Chignik,North,60.2,194.5
1975,Perryville,Chignik,North,45.3,160
1976,Perryville,Chignik,North,89.3,438.3
1977,Perryville,Chignik,North,115.4,452.7
1978,Perryville,Chignik,North,157.5,189.4
1979,Perryville,Chignik,North,181.3,340.3
1980,Perryville,Chignik,North,74.8,31.7
1981,Perryville,Chignik,North,116,178.4
1982,Perryville,Chignik,North,13.4,110.6
1983,Perryville,Chignik,North,64.5,277.7
1984,Perryville,Chignik,North,109.8,341.8
1985,Perryville,Chignik,North,235.2,101
1986,Perryville,Chignik,North,180.5,592.5
1987,Perryville,Chignik,North,65.7,267.4
1988,Perryville,Chignik,North,181.3,133.8
1989,Perryville,Chignik,North,267.4,815.4
1990,Perryville,Chignik,North,88.4,548.6
1991,Perryville,Chignik,North,343.5,1097.5
1992,Perryville,Chignik,North,190.4,238.8
1993,Perryville,Chignik,North,448.4,1263.1
1994,Perryville,Chignik,North,153.9,454.2
1995,Perryville,Chignik,North,582.1,235.3
1962,AKPen NW,Alaska Peninsula,North,4,21.8
1963,AKPen NW,Alaska Peninsula,North,4.4,2.9
1964,AKPen NW,Alaska Peninsula,North,15,17.7
1965,AKPen NW,Alaska Peninsula,North,0.9,1
1966,AKPen NW,Alaska Peninsula,North,1.7,26.5
1967,AKPen NW,Alaska Peninsula,North,0.7,4.4
1968,AKPen NW,Alaska Peninsula,North,26.5,18.9
1969,AKPen NW,Alaska Peninsula,North,4.4,8.8
1970,AKPen NW,Alaska Peninsula,North,11.1,1.2
1971,AKPen NW,Alaska Peninsula,North,8.5,0.2
1972,AKPen NW,Alaska Peninsula,North,1.2,33
1973,AKPen NW,Alaska Peninsula,North,0.2,0.6
1974,AKPen NW,Alaska Peninsula,North,23,37.3
1975,AKPen NW,Alaska Peninsula,North,0.6,6.4
1976,AKPen NW,Alaska Peninsula,North,37.3,558.2
1977,AKPen NW,Alaska Peninsula,North,6.4,12.7
1978,AKPen NW,Alaska Peninsula,North,90.4,391.9
1979,AKPen NW,Alaska Peninsula,North,9.3,14.8
1980,AKPen NW,Alaska Peninsula,North,94,56.8
1981,AKPen NW,Alaska Peninsula,North,5.7,5.2
1982,AKPen NW,Alaska Peninsula,North,51.7,42.8
1983,AKPen NW,Alaska Peninsula,North,3.9,3.3
1984,AKPen NW,Alaska Peninsula,North,33,22.8
1985,AKPen NW,Alaska Peninsula,North,1.4,1.9
1986,AKPen NW,Alaska Peninsula,North,12.9,58.7
1987,AKPen NW,Alaska Peninsula,North,1.1,5.1
1988,AKPen NW,Alaska Peninsula,North,28.5,22.3
1989,AKPen NW,Alaska Peninsula,North,1.9,4.6
1990,AKPen NW,Alaska Peninsula,North,22.2,58.3
1991,AKPen NW,Alaska Peninsula,North,1.2,0.8
1992,AKPen NW,Alaska Peninsula,North,50,282.8
1993,AKPen NW,Alaska Peninsula,North,0.7,6.6
1994,AKPen NW,Alaska Peninsula,North,94.7,219.8
